Starting OpenBSD Secure Shell server: sshd.
Starting web server: apache2.
......
MySQL Community Server 5.7.18 is started.
Tue Jun 13 09:07:07 UTC 2017
Tue Jun 13 09:12:07 UTC 2017
Tue Jun 13 09:17:07 UTC 2017
Tue Jun 13 09:22:07 UTC 2017
Tue Jun 13 09:27:07 UTC 2017
Tue Jun 13 09:32:07 UTC 2017
Tue Jun 13 09:37:07 UTC 2017
Tue Jun 13 09:42:07 UTC 2017
Tue Jun 13 09:47:07 UTC 2017
Tue Jun 13 09:52:07 UTC 2017
Tue Jun 13 09:57:07 UTC 2017
Tue Jun 13 10:02:07 UTC 2017
Tue Jun 13 10:07:07 UTC 2017
Tue Jun 13 10:12:08 UTC 2017
Tue Jun 13 10:17:08 UTC 2017
Tue Jun 13 10:22:08 UTC 2017
Tue Jun 13 10:27:08 UTC 2017
Tue Jun 13 10:32:08 UTC 2017
Tue Jun 13 10:37:08 UTC 2017
Tue Jun 13 10:42:08 UTC 2017
Tue Jun 13 10:47:08 UTC 2017
Tue Jun 13 10:52:08 UTC 2017
Tue Jun 13 10:57:08 UTC 2017
Tue Jun 13 11:02:08 UTC 2017
Tue Jun 13 11:07:08 UTC 2017
Tue Jun 13 11:12:08 UTC 2017
Tue Jun 13 11:17:08 UTC 2017
Tue Jun 13 11:22:08 UTC 2017
Tue Jun 13 11:27:08 UTC 2017
Tue Jun 13 11:32:08 UTC 2017
Tue Jun 13 11:37:08 UTC 2017
Tue Jun 13 11:42:08 UTC 2017
Tue Jun 13 11:47:08 UTC 2017
Tue Jun 13 11:52:08 UTC 2017
